"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","PAD District"
"Time:","01/1981 - 08/2022"
"Unit of Measure:","Barrels","Barrels","Barrels","Barrels","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production | PAD District 1 - East Coast, PAD District 2 - Midwest, PAD District 3 - Gulf Coast, PAD District 4 - Rocky Mountains, PAD District 5 - West Coast, 01/1981 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP18466CF9BE085"
"ColumnCount:",6
"RowCount:",500

"Time","PAD District 1 - East Coast (Barrels)","PAD District 2 - Midwest (Barrels)","PAD District 3 - Gulf Coast (Barrels)","PAD District 4 - Rocky Mountains (Barrels)","PAD District 5 - West Coast (Barrels)"
"05/2016",1397000,52614000,167593000,20302000,6106000
"06/2016",1289000,50495000,160006000,19351000,5786000
"07/2016",1357000,51308000,165712000,20374000,6010000
"08/2016",1383000,49959000,167237000,20287000,5846000
"09/2016",1241000,47846000,158445000,19522000,5608000
"10/2016",1288000,51780000,167988000,20414000,6001000
"11/2016",1297000,50060000,165211000,19624000,5838000
"12/2016",1305000,48462000,172319000,19643000,5865000
"01/2017",1386000,49370000,173465000,19293000,5740000
"02/2017",1251000,46726000,160634000,17703000,5347000
"03/2017",1365000,51867000,178751000,20450000,6301000
"04/2017",1357000,50632000,169994000,20376000,6132000
"05/2017",1425000,51762000,179130000,21325000,6278000
"06/2017",1383000,50792000,171915000,20639000,6061000
"07/2017",1549000,52565000,182514000,21787000,6358000
"08/2017",1553000,54524000,178748000,22880000,6432000
"09/2017",1450000,53029000,178855000,23083000,6464000
"10/2017",1687000,57711000,185245000,24277000,6846000
"11/2017",1687000,57088000,189918000,23998000,6790000
"12/2017",1697000,57914000,194269000,25141000,6995000
"01/2018",1638000,58474000,194540000,25124000,6909000
"02/2018",1486000,52994000,182983000,22573000,6284000
"03/2018",1674000,59378000,208228000,25572000,7237000
"04/2018",1614000,58544000,200781000,25117000,7040000
"05/2018",1658000,61375000,205752000,25702000,7197000
"06/2018",1637000,58414000,207091000,24189000,6922000
"07/2018",1771000,62285000,221726000,25704000,7292000
"08/2018",1921000,64699000,231001000,27720000,7775000
"09/2018",1977000,63583000,222317000,27578000,7776000
"10/2018",2131000,67367000,230313000,28617000,7780000
"11/2018",1871000,64982000,232790000,28462000,7625000
"12/2018",1904000,68618000,241963000,29533000,8129000
"01/2019",2071000,67843000,239692000,28982000,8114000
"02/2019",1712000,58816000,214097000,25868000,7412000
"03/2019",1759000,67618000,243614000,28149000,8182000
"04/2019",1934000,66101000,240305000,28361000,8257000
"05/2019",2007000,67932000,248457000,29764000,8584000
"06/2019",2072000,66673000,241602000,29028000,8096000
"07/2019",2275000,69901000,239219000,29870000,8706000
"08/2019",2366000,70334000,258758000,30177000,8655000
"09/2019",2392000,68642000,250417000,29502000,8757000
"10/2019",2621000,72803000,261556000,31796000,9148000
"11/2019",2422000,69476000,259393000,31162000,8933000
